SpeciesAccepted,Kingdom.x,Phylum.x,Class,Order,Family,Genus,YearofDiscovery,YearGBIF,YearSACs,AntarcticRecordSource,expertAssignedBiogeography,autoGBIFBiogeogrClassAssign,expertAssignLifeform,Raunkieran,Hutchinsonian,Darwinean,Wallacean,Eltonian
Andreaea gainii,Plantae,Bryophyta,Bryopsida,Andreaeales,Andreaeaceae,Andreaea,1911,1980,1980,Ochyra R. Lewis Smith R. I. & Bednarek-Ochyra H. (2008). The illustrated moss flora of Antarctica. Cambridge University Press.,Unclassified,Cosmopolitan,Free-living,1,1,0,1,1
Aptenodytes forsteri,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,1844,2017,2017,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Free-living,1,1,1,1,1
Arctocephalus gazella,Animalia,Chordata,Mammalia,Carnivora,Ottariidae,Arctocephalus,1875,2008,2008,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Free-living,1,1,1,1,1
Bryum argenteum,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Bryum,1801,1983,1983,Ochyra R. Lewis Smith R. I. & Bednarek-Ochyra H. (2008). The illustrated moss flora of Antarctica. Cambridge University Press.,Unclassified,Cosmopolitan,Free-living,1,1,1,1,1
Bryum pseudotriquetrum,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Bryum,1802,1979,1979,Ochyra R. Lewis Smith R. I. & Bednarek-Ochyra H. (2008). The illustrated moss flora of Antarctica. Cambridge University Press.,Unclassified,Cosmopolitan,Free-living,1,1,1,1,1
Cetraria aculeata,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cetraria,1826,2007,2007,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Unclassified,Cosmopolitan,Symbiont,1,1,1,1,1
Cetraria aculeata,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cetraria,1826,2007,2007,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Unclassified,Cosmopolitan,Symbiont,1,1,1,1,1
Daption capense,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Daption,1758,2022,2022,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Free-living,1,1,1,1,1
Deschampsia antarctica,Plantae,Magnonoliophyta,Monocots,Poales,Poaceae,Deschampsia,1812,2019,2019,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Global,Cosmopolitan,Free-living,1,1,1,1,1
Fregetta tropica,Animalia,Chordata,Aves,Procellariiformes,Oceanitidae,Fregetta,1844,2010,2010,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Free-living,1,1,1,1,1
