Expert,Shortfall,BestEstimateR,MinKnowledge,MaxKnowledge,ConfExpert,CredExpert,Domain,Group,FuncGroup,Subgroup
Annon1,DARWINIAN,45,40,50,90,80,Animalia,Invertebrata,Parasite,Ectoparasite
Annon1,DARWINIAN,62,60,65,90,80,Animalia,Invertebrata,Parasite,Gastro-Parasitoids
Annon1,DARWINIAN,80,78,85,70,80,Animalia,Vertebrata,Mammalia,Otarids
Annon1,DARWINIAN,80,75,85,70,80,Animalia,Vertebrata,Mammalia,Phocids
Annon1,DARWINIAN,80,75,85,80,80,Animalia,Vertebrata,Aves,Other seabirds
Annon1,DARWINIAN,85,80,87,90,80,Animalia,Vertebrata,Aves,Spheniciformes
Annon1,ELTONIAN,12,10,15,90,80,Animalia,Invertebrata,Parasite,Gastro-Parasitoids
Annon1,ELTONIAN,17,15,20,90,80,Animalia,Invertebrata,Parasite,Ectoparasite
Annon1,ELTONIAN,80,78,85,70,80,Animalia,Vertebrata,Mammalia,Otarids
Annon1,ELTONIAN,80,75,85,70,80,Animalia,Vertebrata,Mammalia,Phocids
Annon1,ELTONIAN,80,75,85,80,80,Animalia,Vertebrata,Aves,Other seabirds
Annon1,ELTONIAN,85,80,87,90,80,Animalia,Vertebrata,Aves,Spheniciformes
Annon1,HUTCHINSONIAN,0,0,0.1,90,80,Animalia,Invertebrata,Parasite,Gastro-Parasitoids
Annon1,HUTCHINSONIAN,25,20,27,90,80,Animalia,Invertebrata,Parasite,Ectoparasite
Annon1,HUTCHINSONIAN,80,78,85,70,80,Animalia,Vertebrata,Mammalia,Otarids
Annon1,HUTCHINSONIAN,80,75,85,70,80,Animalia,Vertebrata,Mammalia,Phocids
Annon1,HUTCHINSONIAN,80,75,85,80,80,Animalia,Vertebrata,Aves,Other seabirds
Annon1,HUTCHINSONIAN,85,80,87,90,80,Animalia,Vertebrata,Aves,Spheniciformes
Annon1,LINNEAN,85,80,90,90,80,Animalia,Invertebrata,Parasite,Ectoparasite
Annon1,LINNEAN,85,80,90,90,80,Animalia,Invertebrata,Parasite,Gastro-Parasitoids
Annon1,LINNEAN,99,98.5,99.5,80,80,Animalia,Vertebrata,Aves,Other seabirds
Annon1,LINNEAN,99.5,99,100,90,80,Animalia,Vertebrata,Aves,Spheniciformes
Annon1,LINNEAN,99.5,99,100,70,80,Animalia,Vertebrata,Mammalia,Otarids
Annon1,LINNEAN,99.5,99,100,70,80,Animalia,Vertebrata,Mammalia,Phocids
Annon1,PRESTONIAN,35,30,40,90,80,Animalia,Invertebrata,Parasite,Gastro-Parasitoids
Annon1,PRESTONIAN,55,50,57,90,80,Animalia,Invertebrata,Parasite,Ectoparasite
Annon1,PRESTONIAN,75,70,77,80,80,Animalia,Vertebrata,Aves,Other seabirds
Annon1,PRESTONIAN,85,80,90,70,80,Animalia,Vertebrata,Mammalia,Phocids
