Expert,Shortfall,Shortfall_Sub,Aplicacion1,Aplicacion1.1,VOI
Expert1,LINNEAN,baseline,Conservation,Area Protection (Land Use),5
Expert1,LINNEAN,intermediate,Conservation,Area Protection (Land Use),5
Expert1,LINNEAN,advanced,Conservation,Area Protection (Land Use),2
Expert1,PRESTONIAN,baseline,Conservation,Area Protection (Land Use),4
Expert1,PRESTONIAN,intermediate,Conservation,Area Protection (Land Use),4
Expert1,PRESTONIAN,advanced,Conservation,Area Protection (Land Use),5
Expert1,WALLACEAN,baseline,Conservation,Area Protection (Land Use),5
Expert1,WALLACEAN,intermediate,Conservation,Area Protection (Land Use),5
Expert1,WALLACEAN,advanced,Conservation,Area Protection (Land Use),3
Expert1,DARWINIAN,baseline,Conservation,Area Protection (Land Use),4
Expert1,DARWINIAN,intermediate,Conservation,Area Protection (Land Use),2
Expert1,DARWINIAN,advanced,Conservation,Area Protection (Land Use),4
Expert1,RAUNKIAERAN,baseline,Conservation,Area Protection (Land Use),1
Expert1,RAUNKIAERAN,intermediate,Conservation,Area Protection (Land Use),2
Expert1,RAUNKIAERAN,advanced,Conservation,Area Protection (Land Use),1
Expert1,HUTCHINSONIAN,baseline,Conservation,Area Protection (Land Use),3
Expert1,HUTCHINSONIAN,intermediate,Conservation,Area Protection (Land Use),1
Expert1,HUTCHINSONIAN,advanced,Conservation,Area Protection (Land Use),2
Expert1,ELTONIAN,baseline,Conservation,Area Protection (Land Use),2
Expert1,ELTONIAN,intermediate,Conservation,Area Protection (Land Use),1
Expert1,ELTONIAN,advanced,Conservation,Area Protection (Land Use),3
Expert1,LINNEAN,baseline,Baseline Science,Baseline Science,3
Expert1,LINNEAN,intermediate,Baseline Science,Baseline Science,3
Expert1,LINNEAN,advanced,Baseline Science,Baseline Science,3
Expert1,PRESTONIAN,baseline,Baseline Science,Baseline Science,3
Expert1,PRESTONIAN,intermediate,Baseline Science,Baseline Science,3
Expert1,PRESTONIAN,advanced,Baseline Science,Baseline Science,3
Expert1,WALLACEAN,baseline,Baseline Science,Baseline Science,3
Expert1,WALLACEAN,intermediate,Baseline Science,Baseline Science,3
Expert1,WALLACEAN,advanced,Baseline Science,Baseline Science,3
Expert1,DARWINIAN,baseline,Baseline Science,Baseline Science,3
Expert1,DARWINIAN,intermediate,Baseline Science,Baseline Science,3
Expert1,DARWINIAN,advanced,Baseline Science,Baseline Science,3
Expert1,RAUNKIAERAN,baseline,Baseline Science,Baseline Science,3
Expert1,RAUNKIAERAN,intermediate,Baseline Science,Baseline Science,3
Expert1,RAUNKIAERAN,advanced,Baseline Science,Baseline Science,3
Expert1,HUTCHINSONIAN,baseline,Baseline Science,Baseline Science,3
Expert1,HUTCHINSONIAN,intermediate,Baseline Science,Baseline Science,3
Expert1,HUTCHINSONIAN,advanced,Baseline Science,Baseline Science,3
Expert1,ELTONIAN,baseline,Baseline Science,Baseline Science,3
Expert1,ELTONIAN,intermediate,Baseline Science,Baseline Science,3
